代碼,單位名稱
KH870,高嵩
KH919,高首
KH996,高首一
PT101,屏翔
PT138,屏翔一
PT168,屏豐
PT188,屏勝
PT827,屏富
PTD30,屏榮
S1340,高渡
S1920,高翔
S1970,高權
W1A10,整銷北一
W1B10,整銷中一
W1S10,整銷嘉一
W1S20,整銷高一
